,Index,Time Serie,AUSTRALIA - AUSTRALIAN DOLLAR/US$,NEW ZEALAND - NEW ZELAND DOLLAR/US$
496,496,2001-11-27,1.9168,2.4184
497,497,2001-11-28,1.9183,2.4184
498,498,2001-11-29,1.932,2.4237
499,499,2001-11-30,1.922,2.4021
500,500,2001-12-03,1.9294,2.4073
501,501,2001-12-04,1.9399,2.4272
502,502,2001-12-05,1.9342,2.4125
503,503,2001-12-06,1.9298,2.4021
504,504,2001-12-07,1.9395,2.412
505,505,2001-12-10,1.9417,2.4108
506,506,2001-12-11,1.9425,2.3981
507,507,2001-12-12,1.9227,2.381
508,508,2001-12-13,1.9309,2.3866
509,509,2001-12-14,1.9283,2.3952
510,510,2001-12-17,1.932,2.3969
511,511,2001-12-18,1.9391,2.3952
512,512,2001-12-19,1.9486,2.4085
513,513,2001-12-20,1.9814,2.4301
514,514,2001-12-21,1.9704,2.4108
515,515,2001-12-24,1.9662,2.4067
517,517,2001-12-26,1.9685,2.4056
518,518,2001-12-27,1.9704,2.4137
519,519,2001-12-28,1.9562,2.412
520,520,2001-12-31,1.9543,2.4033
522,522,2002-01-02,1.9436,2.3646
523,523,2002-01-03,1.9433,2.3513
524,524,2002-01-04,1.9253,2.3299
525,525,2002-01-07,1.9294,2.3386
526,526,2002-01-08,1.9091,2.3164
527,527,2002-01-09,1.9095,2.3337
528,528,2002-01-10,1.9124,2.3452
529,529,2002-01-11,1.9194,2.3596
530,530,2002-01-14,1.9305,2.3641
531,531,2002-01-15,1.9272,2.3585
532,532,2002-01-16,1.9399,2.3787
533,533,2002-01-17,1.9474,2.3753
534,534,2002-01-18,1.9417,2.3613
536,536,2002-01-22,1.9283,2.3261
537,537,2002-01-23,1.9238,2.3321
538,538,2002-01-24,1.9249,2.3392
539,539,2002-01-25,1.9354,2.3613
540,540,2002-01-28,1.9357,2.3697
541,541,2002-01-29,1.9455,2.3652
542,542,2002-01-30,1.9763,2.4062
543,543,2002-01-31,1.9716,2.3998
544,544,2002-02-01,1.9685,2.3964
545,545,2002-02-04,1.9589,2.3981
546,546,2002-02-05,1.9658,2.4015
547,547,2002-02-06,1.9631,2.3906
548,548,2002-02-07,1.9724,2.4102
549,549,2002-02-08,1.9592,2.3929
550,550,2002-02-11,1.9512,2.3804
551,551,2002-02-12,1.9658,2.3912
552,552,2002-02-13,1.9658,2.3929
553,553,2002-02-14,1.9354,2.3781
554,554,2002-02-15,1.9354,2.3680000000000003
556,556,2002-02-19,1.9316,2.3759
557,557,2002-02-20,1.9339,2.3787
558,558,2002-02-21,1.9346,2.3889
559,559,2002-02-22,1.9482,2.3889
560,560,2002-02-25,1.9486,2.3935
561,561,2002-02-26,1.9433,2.3895
562,562,2002-02-27,1.9387,2.3861
563,563,2002-02-28,1.9354,2.3736
564,564,2002-03-01,1.9316,2.3669
565,565,2002-03-04,1.9223,2.3463
566,566,2002-03-05,1.9205,2.3474
